customer_id,master_customer_name,parent_company,region_standardized
1,Company 1,Parent_0,Europe
2,Company 2,Parent_0,Europe
3,Company 3,Parent_0,APAC
4,Company 4,Parent_0,North America
5,Company 5,Parent_0,North America
6,Company 6,Parent_0,North America
7,Company 7,Parent_0,Europe
8,Company 8,Parent_0,North America
9,Company 9,Parent_0,APAC
10,Company 10,Parent_1,Europe
11,Company 11,Parent_1,APAC
12,Company 12,Parent_1,APAC
13,Company 13,Parent_1,Europe
14,Company 14,Parent_1,APAC
15,Company 15,Parent_1,North America
16,Company 16,Parent_1,APAC
17,Company 17,Parent_1,North America
18,Company 18,Parent_1,APAC
19,Company 19,Parent_1,North America
20,Company 20,Parent_2,North America
21,Company 21,Parent_2,Europe
22,Company 22,Parent_2,Europe
23,Company 23,Parent_2,APAC
24,Company 24,Parent_2,North America
25,Company 25,Parent_2,North America
26,Company 26,Parent_2,North America
27,Company 27,Parent_2,APAC
28,Company 28,Parent_2,APAC
29,Company 29,Parent_2,North America
30,Company 30,Parent_3,Europe
31,Company 31,Parent_3,APAC
32,Company 32,Parent_3,North America
33,Company 33,Parent_3,Europe
34,Company 34,Parent_3,Europe
35,Company 35,Parent_3,Europe
36,Company 36,Parent_3,Europe
37,Company 37,Parent_3,Europe
38,Company 38,Parent_3,Europe
39,Company 39,Parent_3,APAC
40,Company 40,Parent_4,Europe
41,Company 41,Parent_4,APAC
42,Company 42,Parent_4,Europe
43,Company 43,Parent_4,Europe
44,Company 44,Parent_4,Europe
45,Company 45,Parent_4,APAC
46,Company 46,Parent_4,North America
47,Company 47,Parent_4,Europe
48,Company 48,Parent_4,North America
49,Company 49,Parent_4,North America
50,Company 50,Parent_5,Europe
51,Company 51,Parent_5,Europe
52,Company 52,Parent_5,Europe
53,Company 53,Parent_5,APAC
54,Company 54,Parent_5,APAC
55,Company 55,Parent_5,APAC
56,Company 56,Parent_5,APAC
57,Company 57,Parent_5,Europe
58,Company 58,Parent_5,North America
59,Company 59,Parent_5,Europe
60,Company 60,Parent_6,North America
61,Company 61,Parent_6,APAC
62,Company 62,Parent_6,North America
63,Company 63,Parent_6,APAC
64,Company 64,Parent_6,North America
65,Company 65,Parent_6,Europe
66,Company 66,Parent_6,APAC
67,Company 67,Parent_6,Europe
68,Company 68,Parent_6,Europe
69,Company 69,Parent_6,APAC
70,Company 70,Parent_7,APAC
71,Company 71,Parent_7,APAC
72,Company 72,Parent_7,APAC
73,Company 73,Parent_7,North America
74,Company 74,Parent_7,Europe
75,Company 75,Parent_7,Europe
76,Company 76,Parent_7,APAC
77,Company 77,Parent_7,North America
78,Company 78,Parent_7,APAC
79,Company 79,Parent_7,North America
80,Company 80,Parent_8,Europe
81,Company 81,Parent_8,APAC
82,Company 82,Parent_8,North America
83,Company 83,Parent_8,Europe
84,Company 84,Parent_8,APAC
85,Company 85,Parent_8,APAC
86,Company 86,Parent_8,North America
87,Company 87,Parent_8,North America
88,Company 88,Parent_8,APAC
89,Company 89,Parent_8,APAC
90,Company 90,Parent_9,APAC
91,Company 91,Parent_9,Europe
92,Company 92,Parent_9,Europe
93,Company 93,Parent_9,APAC
94,Company 94,Parent_9,APAC
95,Company 95,Parent_9,APAC
96,Company 96,Parent_9,APAC
97,Company 97,Parent_9,Europe
98,Company 98,Parent_9,North America
99,Company 99,Parent_9,Europe
100,Company 100,Parent_10,Europe
101,Company 101,Parent_10,Europe
102,Company 102,Parent_10,APAC
103,Company 103,Parent_10,Europe
104,Company 104,Parent_10,Europe
105,Company 105,Parent_10,APAC
106,Company 106,Parent_10,North America
107,Company 107,Parent_10,Europe
108,Company 108,Parent_10,APAC
109,Company 109,Parent_10,Europe
110,Company 110,Parent_11,Europe
111,Company 111,Parent_11,Europe
112,Company 112,Parent_11,North America
113,Company 113,Parent_11,Europe
114,Company 114,Parent_11,North America
115,Company 115,Parent_11,Europe
116,Company 116,Parent_11,APAC
117,Company 117,Parent_11,APAC
118,Company 118,Parent_11,APAC
119,Company 119,Parent_11,Europe
120,Company 120,Parent_12,APAC
121,Company 121,Parent_12,North America
122,Company 122,Parent_12,Europe
123,Company 123,Parent_12,APAC
124,Company 124,Parent_12,North America
125,Company 125,Parent_12,APAC
126,Company 126,Parent_12,Europe
127,Company 127,Parent_12,North America
128,Company 128,Parent_12,Europe
129,Company 129,Parent_12,APAC
130,Company 130,Parent_13,Europe
131,Company 131,Parent_13,North America
132,Company 132,Parent_13,North America
133,Company 133,Parent_13,Europe
134,Company 134,Parent_13,APAC
135,Company 135,Parent_13,APAC
136,Company 136,Parent_13,Europe
137,Company 137,Parent_13,APAC
138,Company 138,Parent_13,APAC
139,Company 139,Parent_13,North America
140,Company 140,Parent_14,North America
141,Company 141,Parent_14,Europe
142,Company 142,Parent_14,APAC
143,Company 143,Parent_14,APAC
144,Company 144,Parent_14,APAC
145,Company 145,Parent_14,APAC
146,Company 146,Parent_14,APAC
147,Company 147,Parent_14,Europe
148,Company 148,Parent_14,Europe
149,Company 149,Parent_14,North America
150,Company 150,Parent_15,APAC
151,Company 151,Parent_15,Europe
152,Company 152,Parent_15,APAC
153,Company 153,Parent_15,Europe
154,Company 154,Parent_15,APAC
155,Company 155,Parent_15,APAC
156,Company 156,Parent_15,North America
157,Company 157,Parent_15,North America
158,Company 158,Parent_15,North America
159,Company 159,Parent_15,Europe
160,Company 160,Parent_16,Europe
161,Company 161,Parent_16,North America
162,Company 162,Parent_16,Europe
163,Company 163,Parent_16,Europe
164,Company 164,Parent_16,APAC
165,Company 165,Parent_16,APAC
166,Company 166,Parent_16,APAC
167,Company 167,Parent_16,Europe
168,Company 168,Parent_16,North America
169,Company 169,Parent_16,North America
170,Company 170,Parent_17,Europe
171,Company 171,Parent_17,North America
172,Company 172,Parent_17,Europe
173,Company 173,Parent_17,North America
