customer_id,customer_name,region,industry,segment,created_date
1,Company_1,north america,Healthcare,Mid-Market,2022-12-05
2,Company_2,APAC,Technology,Enterprise,2023-09-30
3,Company_3,,Manufacturing,Mid-Market,2023-10-19
4,Company_4,north america,Retail,Mid-Market,2022-09-06
5,Company_5,APAC,Retail,Enterprise,2021-02-22
6,Company_6,,Healthcare,SMB,2020-06-23
7,Company_7,Europe,Technology,SMB,2022-04-19
8,Company_8,EUROPE,Technology,Enterprise,2022-12-13
9,Company_9,APAC,Technology,Enterprise,2023-09-30
10,Company_10,EUROPE,Manufacturing,SMB,2021-01-10
11,Company_11,,Healthcare,SMB,2021-12-13
12,Company_12,,Technology,Mid-Market,2020-07-15
13,Company_13,,Healthcare,SMB,2023-10-03
14,Company_14,EUROPE,Technology,Enterprise,2022-11-17
15,Company_15,Europe,Manufacturing,SMB,2022-12-16
16,Company_16,Europe,Retail,Enterprise,2020-03-09
17,Company_17,North America,Technology,Enterprise,2023-11-27
18,Company_18,APAC,Retail,SMB,2021-10-31
19,Company_19,north america,Retail,SMB,2021-05-19
20,company_20,APAC,Retail,SMB,2023-05-28
21,Company_21,north america,Manufacturing,Enterprise,2022-01-31
22,Company_22,EUROPE,Technology,SMB,2022-09-06
23,Company_23,north america,Healthcare,Enterprise,2021-03-23
24,Company_24,Europe,Technology,Enterprise,2022-03-03
25,Company_25,,Retail,SMB,2023-11-24
26,Company_26,,Manufacturing,SMB,2020-10-09
27,Company_27,APAC,Retail,Enterprise,2020-06-11
28,Company_28,North America,Technology,Mid-Market,2020-05-24
29,Company_29,EUROPE,Technology,Enterprise,2020-08-24
30,Company_30,,Technology,Mid-Market,2021-06-05
31,Company_31,,Retail,SMB,2023-10-29
32,Company_32,APAC,Technology,Mid-Market,2020-03-04
33,Company_33,EUROPE,Retail,Mid-Market,2023-07-13
34,Company_34,EUROPE,Technology,Mid-Market,2022-12-22
35,Company_35,North America,Retail,Mid-Market,2021-04-08
36,Company_36,North America,Retail,SMB,2021-03-02
37,Company_37,APAC,Healthcare,Enterprise,2021-04-23
38,Company_38,APAC,Technology,Enterprise,2021-01-15
39,Company_39,North America,Retail,Mid-Market,2020-03-13
40,company_40,,Healthcare,Mid-Market,2022-01-19
41,Company_41,North America,Retail,Mid-Market,2020-03-01
42,Company_42,North America,Retail,SMB,2021-09-25
43,Company_43,EUROPE,Retail,Mid-Market,2020-07-09
44,Company_44,Europe,Technology,Mid-Market,2021-03-02
45,Company_45,north america,Retail,Mid-Market,2020-08-01
46,Company_46,APAC,Manufacturing,SMB,2021-02-18
47,Company_47,,Retail,Mid-Market,2023-06-01
48,Company_48,APAC,Retail,Enterprise,2021-09-30
49,Company_49,north america,Technology,Mid-Market,2023-11-28
50,Company_50,Europe,Manufacturing,Enterprise,2023-06-12
51,Company_51,APAC,Technology,Enterprise,2022-01-05
52,Company_52,EUROPE,Technology,Mid-Market,2020-07-31
53,Company_53,EUROPE,Technology,Enterprise,2023-08-18
54,Company_54,Europe,Manufacturing,Mid-Market,2022-12-30
55,Company_55,EUROPE,Retail,SMB,2020-05-22
56,Company_56,,Technology,Enterprise,2021-09-28
57,Company_57,Europe,Technology,Mid-Market,2020-01-06
58,Company_58,EUROPE,Manufacturing,Mid-Market,2022-12-07
59,Company_59,APAC,Healthcare,Enterprise,2024-02-01
60,company_60,North America,Retail,Enterprise,2023-01-04
61,Company_61,EUROPE,Healthcare,Mid-Market,2023-11-24
62,Company_62,APAC,Healthcare,Mid-Market,2021-11-30
63,Company_63,,Manufacturing,Enterprise,2024-02-08
64,Company_64,APAC,Retail,Mid-Market,2023-04-25
65,Company_65,North America,Technology,SMB,2022-12-26
66,Company_66,APAC,Retail,SMB,2023-01-18
67,Company_67,north america,Retail,Mid-Market,2022-05-21
68,Company_68,Europe,Technology,Enterprise,2023-12-11
69,Company_69,North America,Manufacturing,Mid-Market,2022-11-14
70,Company_70,EUROPE,Healthcare,Mid-Market,2023-07-15
71,Company_71,EUROPE,Manufacturing,SMB,2023-12-15
72,Company_72,north america,Healthcare,Enterprise,2020-09-14
73,Company_73,APAC,Manufacturing,Mid-Market,2020-05-08
74,Company_74,north america,Manufacturing,SMB,2023-04-17
75,Company_75,EUROPE,Manufacturing,Mid-Market,2023-05-05
76,Company_76,EUROPE,Manufacturing,Mid-Market,2021-07-17
77,Company_77,Europe,Manufacturing,Mid-Market,2021-08-04
78,Company_78,north america,Retail,SMB,2021-12-30
79,Company_79,EUROPE,Retail,SMB,2023-05-13
80,company_80,North America,Manufacturing,Mid-Market,2021-05-15
81,Company_81,EUROPE,Manufacturing,Enterprise,2022-07-30
