opportunity_id,customer_id,stage,amount,created_date,close_date
1,179,Won,33424.08,2023-05-31,2023-06-25
2,414,Qualified,2448.15,2021-10-11,
3,361,Lead,46622.57,2023-05-20,
4,49,Lead,10819.99,2023-05-28,
5,112,Won,7702.49,2022-05-26,2022-06-25
6,105,Won,16932.53,2022-11-22,2022-12-19
7,254,Qualified,15473.58,2023-07-21,
8,392,Lost,,2021-06-08,2021-08-04
9,23,Proposal,20696.39,2023-04-24,
10,489,Lead,9769.75,2023-07-24,
11,325,Lost,,2022-01-11,2022-03-09
12,266,Qualified,41517.95,2022-05-01,
13,446,Won,11539.65,2022-05-17,2022-07-08
14,349,Proposal,3522.33,2021-09-22,
15,328,Qualified,8156.79,2022-06-04,
16,411,Lost,,2021-04-01,2021-05-13
17,438,Won,46091.66,2021-06-30,2021-07-09
18,13,Proposal,45495.61,2023-09-08,
19,147,Won,23109.03,2021-06-23,2021-06-30
20,464,Lost,,2023-08-03,2023-09-13
21,463,Qualified,1203.15,2021-04-18,
22,4,Won,4681.42,2022-11-18,2022-12-30
23,32,Lead,49308.77,2021-10-31,
24,129,Proposal,9694.97,2021-06-24,
25,234,Won,39862.27,2023-01-11,2023-03-08
26,181,Won,12515.11,2023-08-27,2023-10-03
27,31,Qualified,38306.53,2021-12-30,
28,112,Lost,,2022-11-17,2023-01-05
29,327,Won,16397.05,2022-12-26,2023-02-18
30,259,Qualified,49451.43,2021-10-29,
31,429,Lead,44151.48,2023-02-19,
32,440,Won,13557.63,2021-01-29,2021-03-08
33,37,Proposal,7567.37,2022-04-07,
34,182,Lead,26908.1,2022-08-24,
35,406,Lost,,2022-12-17,2023-01-02
36,214,Won,37638.77,2021-01-03,2021-01-20
37,167,Proposal,24616.51,2022-06-28,
38,379,Lead,21491.63,2023-05-17,
39,434,Qualified,31086.31,2021-11-23,
40,261,Lost,,2021-04-24,2021-05-17
41,248,Proposal,12558.91,2021-01-08,
42,296,Proposal,38308.61,2022-01-02,
43,334,Lost,,2021-11-16,2021-12-02
44,129,Won,11048.68,2022-04-04,2022-05-06
45,399,Lost,,2023-01-14,2023-01-26
46,438,Qualified,32279.27,2021-03-29,
47,118,Lost,,2023-08-24,2023-10-21
48,497,Lead,30777.44,2022-02-04,
49,256,Qualified,36871.84,2022-10-08,
50,166,Won,38682.6,2021-10-01,2021-10-19
51,264,Won,29016.98,2023-05-11,2023-05-21
52,307,Proposal,7893.94,2023-06-03,
53,339,Won,32995.23,2022-05-09,2022-05-30
54,33,Proposal,8625.05,2022-07-24,
55,415,Won,19165.24,2023-06-29,2023-07-31
56,137,Lead,11828.97,2023-05-17,
57,269,Won,28105.87,2022-02-28,2022-04-24
58,424,Won,34985.32,2022-07-03,2022-08-04
59,284,Lead,16166.39,2023-06-02,
60,251,Qualified,23441.53,2021-11-14,
61,139,Proposal,8774.94,2023-01-15,
62,362,Proposal,37902.58,2021-05-06,
63,156,Won,7893.28,2023-01-23,2023-03-04
64,246,Lost,,2022-04-20,2022-05-20
65,489,Lost,,2023-09-05,2023-09-12
66,138,Proposal,17716.34,2021-05-04,
