order_id,customer_id,product_id,order_date,revenue
1,308,43,2022-01-10,18554.44
2,101,15,2021-09-15,13519.5
3,76,26,2021-04-07,11788.88
4,449,46,2023-09-14,14029.88
5,117,36,2023-01-17,3370.44
6,450,11,2022-05-18,9652.54
7,48,36,2021-11-10,2216.39
8,470,6,2023-07-15,14378.83
9,157,15,2021-02-19,9459.46
10,347,16,2022-05-09,6672.11
11,31,38,2023-02-04,6646.97
12,243,34,2021-05-16,4393.6
13,77,16,2022-12-14,8066.74
14,208,40,2022-11-01,16679.67
15,317,41,2021-04-20,15930.77
16,266,17,2022-06-24,7810.03
17,87,24,2022-05-24,3604.06
18,252,2,2022-10-29,17648.97
19,419,15,2021-03-14,15289.25
20,193,27,2023-06-05,2169.28
21,453,18,2023-06-30,19254.98
22,201,16,2022-08-26,1108.3
23,4,44,2022-12-16,4942.77
24,255,19,2021-07-18,14250.59
25,474,1,2022-06-17,5359.38
26,62,38,2021-09-19,2515.41
27,114,45,2021-02-12,12405.4
28,486,40,2021-08-28,16356.71
29,350,35,2023-02-24,8792.77
30,127,30,2022-06-24,13237.19
31,101,38,2023-04-12,1707.32
32,54,34,2022-02-18,17162.76
33,241,19,2023-05-05,12408.02
34,284,37,2022-04-14,15042.11
35,256,28,2021-09-24,6301.99
36,224,30,2022-02-06,17086.8
37,427,28,2022-03-30,16623.11
38,329,41,2023-09-17,17815.52
39,190,10,2021-04-19,16060.7
40,55,29,2021-02-23,13661.59
41,365,43,2022-08-15,13778.45
42,355,46,2022-11-19,15255.56
43,174,29,2021-03-15,11043.22
44,220,20,2022-05-29,2628.41
45,78,3,2023-05-14,12495.91
46,212,50,2022-01-13,9838.25
47,74,29,2023-01-27,16613.28
48,446,8,2022-02-06,18542.16
49,491,43,2022-11-03,6934.48
50,67,17,2022-08-24,2420.82
51,90,22,2021-08-05,1369.4
52,33,49,2021-02-07,12688.63
53,279,11,2022-08-06,15636.37
54,213,28,2021-02-24,10011.56
55,369,6,2021-07-01,952.09
56,29,43,2022-04-12,19735.94
57,302,27,2021-09-26,1322.59
58,225,17,2021-11-15,17799.12
59,379,39,2021-11-19,11878.55
60,236,18,2021-05-17,9065.95
61,116,21,2022-07-18,15459.36
62,212,30,2022-08-16,962.04
63,478,23,2022-10-01,8719.15
64,119,22,2023-06-24,10712.54
65,402,30,2023-03-02,17763.18
66,152,39,2022-02-12,10105.74
67,143,38,2023-05-04,12773.31
68,431,29,2023-03-22,4206.31
69,385,32,2023-03-22,6733.79
70,427,50,2021-11-26,19608.38
71,260,47,2022-04-26,2557.29
72,314,13,2021-05-27,16930.25
73,147,42,2023-02-15,4008.43
74,213,38,2021-10-25,7846.82
75,1,25,2023-02-06,2809.31
76,470,26,2022-04-15,3126.43
77,174,29,2023-05-30,9915.13
78,435,5,2023-04-21,11360.55
79,344,18,2022-11-09,4736.39
80,13,8,2022-01-09,15727.23
81,55,38,2023-06-01,3633.85
82,43,11,2022-12-18,16800.51
83,129,15,2021-07-24,5223.24
84,277,34,2021-06-08,1361.72
85,323,31,2021-11-06,10944.05
86,376,24,2021-11-30,16167.52
87,127,47,2023-09-07,2584.37
88,185,48,2022-08-16,14751.16
89,313,2,2022-08-21,13109.46
90,306,35,2022-02-12,9846.3
91,185,38,2022-02-03,6975.77
92,353,14,2022-06-03,2832.6
93,71,39,2021-03-19,19870.01
94,320,32,2023-04-27,17822.94
95,199,26,2022-02-21,19935.28
96,174,36,2021-11-29,17917.61
97,57,11,2023-05-24,11595.54
98,287,9,2021-12-29,9712.52
99,21,41,2023-07-01,13122.02
100,314,44,2022-11-15,6622.42
101,177,32,2021-04-11,13150.53
102,364,36,2022-12-17,10930.2
103,32,15,2022-07-27,9147.44
104,24,20,2022-10-12,16155.89
105,93,20,2022-03-09,17569.3
106,499,14,2022-09-07,19495.51
107,306,35,2022-12-01,12122.79
108,330,30,2021-06-16,2288.08
109,404,40,2022-06-08,5384.62
110,5,5,2023-04-11,13907.71
111,340,8,2022-06-05,14464.34
112,324,49,2021-08-28,12292.67
113,146,12,2021-12-04,12858.14
114,49,31,2023-05-07,5895.05
115,19,2,2022-06-03,10613.39
116,319,38,2021-02-24,18871.49
117,11,15,2023-03-14,12504.95
118,260,49,2023-04-01,6844.77
119,421,40,2022-09-01,998.21
120,302,29,2023-05-21,9748.05
121,367,48,2022-03-19,2137.75
